Name,Citations_2013,mt10_2013,Hirsh_2013,Gains_Citat,Gains_mt10,Gains_hirsh,Citations_2014n,mt10_2014n,Hirsh_2014n
S1,5138,101,32,11,6,3,0,8,9
S2,37371,175,78,15,4,4,20,20,46
S3,113240,476,144,14,6,4,68,70,100
S4,70932,292,98,17,15,5,41,40,63
S5,5205,61,31,16,7,3,0,2,8
S6,47844,316,96,15,10,8,27,44,61
S7,38862,299,97,16,44,4,21,41,62
S8,9400,119,46,14,7,2,3,11,20
S9,26630,134,42,18,12,8,14,14,17
S10,92538,239,102,32,4,15,55,31,66
S11,39468,182,73,13,6,6,22,22,42
S12,55831,220,65,16,4,5,32,28,36
S13,14653,104,53,18,12,6,6,9,26
S14,95598,608,122,19,40,7,57,91,82
S15,84127,179,83,25,7,4,50,21,50
S16,12028,86,45,17,10,7,4,6,20
S17,77512,342,116,19,12,9,45,48,77
S18,30009,150,65,14,8,7,16,16,36
S19,26220,402,76,7,7,1,13,58,45
S20,5408,50,21,2,6,-9,0,0,0
S21,24117,121,70,14,7,9,12,12,40
S22,18665,260,70,26,12,11,9,34,40
S23,82781,203,89,10,4,1,49,25,55
S24,164251,280,108,16,10,7,100,38,71
S25,5530,50,29,16,11,7,0,0,7
S26,29334,155,65,11,8,5,15,17,36
S27,54579,661,87,11,23,4,31,100,54
S28,54098,472,111,1,1,0,31,69,73
S29,23773,309,69,16,14,10,12,42,39
S30,14954,179,61,31,20,13,6,21,33
